商品名,JAN,UMAP1,UMAP2,希望小売価格
オー・ボン・クリマ シャルドネ サンタ バーバラ カウンティー,850755000028,4.490888,5.0999565,4400.0
ブレッド＆バター シャルドネ,850832004260,5.621473,5.467198,3980.0
シャンモリ 山梨県産葡萄使用 甲州,4524919310709,5.537036,4.893438,1300.0
ダークホース シャルドネ,4901777301702,5.3307657,5.404092,1477.0
コート　デュ　ローヌ　ヴィエイユ　ヴィーニュ,4935919044714,9.25087,5.9482036,2000.0
ペイ　ドック　カベルネ　ソーヴィニヨン,4935919045049,8.428731,5.124503,1400.0
ペイ　ドック　シャルドネ　キュヴェ　ド　ブリュ,4935919046091,4.907277,3.649216,1700.0
コート　デュ　ローヌ　ルージュ　ル　プティ　アンデゾン,4935919049924,8.638474,5.7793074,1700.0
モンテプルチャーノ　ダブルッツォ,4935919050357,10.466964,5.3280206,1900.0
ファンティーニ　モンテプルチャーノ　ダブルッツォ,4935919050562,11.100205,5.1835957,1800.0
ファンティーニ　トレッビアーノ　ダブルッツォ,4935919050579,5.8947773,3.9329023,1800.0
ファンティーニ　サンジョヴェーゼ　テッレ　ディ　キエティ,4935919050883,10.167239,4.415733,1800.0
ファレーリオ,4935919052504,7.4349594,5.401373,1700.0
ファンティーニ　シャルドネ,4935919052726,5.2163243,3.651937,1800.0
ファンティーニ　プリミティーヴォ,4935919053150,9.583663,4.1125546,1800.0
ロッソレアーレ,4935919053266,9.451816,4.5567813,1350.0
モリ　ロッソ,4935919054034,10.328673,5.405694,2000.0
ピエモンテ　バルベーラ,4935919054836,10.351615,6.1287746,1700.0
ザブ　ネーロ　ダーヴォラ,4935919054874,10.03983,5.792093,1600.0
ファンティーニ　ピノ　グリージョ,4935919054980,5.462602,4.105956,1900.0
ザブ　シラー,4935919055352,9.940136,5.4283776,1700.0
ジ　ガルガネガ,4935919055406,5.413498,4.7845106,1600.0
エッセ　ソアーヴェ,4935919055413,4.815288,3.7398932,1700.0
チ　シャルドネ,4935919055420,5.044779,5.032538,1700.0
チ　コルヴィーナ,4935919055437,8.107314,3.8955777,1600.0
ヴェレノージ　パッセリーナ,4935919055505,3.724139,4.037791,2100.0
プライヴェート　キュヴェ　ブリュット,4935919055604,6.5599313,4.3348927,1600.0
サリチェ　サレンティーノ　ロッソ　フォルテ　インカント,4935919055833,8.951491,4.2710633,1600.0
ロッソ　ピチェーノ,4935919055970,9.952573,5.8856983,1700.0
モンテプルチャーノ　ダブルッツォ,4935919055987,9.001203,5.3251796,1700.0
ザブ　グリッロ,4935919056229,6.1161013,3.380133,1600.0
コメ,4935919056397,8.245941,4.1704974,1700.0
イ　ムーリ　ネグロアマーロ,4935919056731,11.124121,5.1826262,2000.0
トレッビアーノ　ダブルッツォ　スペリオーレ,4935919057165,4.099673,3.811452,1900.0
リゾーロ　フリッツァンテ　セッコ,4935919057615,5.9256215,4.8089075,1700.0
イル　ビアンコ,4935919057950,5.202528,4.2138834,1700.0
ヴェルディッキオ　デイ　カステッリ　ディ　イエージ　クラッシコ,4935919057967,5.0453405,4.19262,2100.0
ビアンコ　トスカーナ,4935919058186,5.464666,4.958467,1600.0
ロッソ　トスカーナ,4935919058193,9.2144785,4.262811,1600.0
ポルタ　モンティカーノ　ロゼ　エクストラ　ドライ,4935919058513,5.8939195,4.4656057,1900.0
コントログエッラ　パッセリーナ,4935919058605,3.582838,3.9978642,1900.0
クストーツァ,4935919059435,6.5472136,3.047859,1300.0
バルドリーノ　キアレット,4935919059442,4.771289,4.1266265,1300.0
バルドリーノ,4935919059459,7.388778,3.45126,1300.0
ガルダ　メルロ,4935919059466,8.365369,4.4600725,1300.0
デッレ　ヴェネツィエ　ピノ　グリージョ,4935919059473,5.281512,3.576017,1500.0
ロッソ　デル　モリーノ,4935919059480,8.708211,4.2944694,1600.0
エコシステマ　シャルドネ　ビオロジコ,4935919059503,3.7523408,4.1076136,2000.0
テッレーノ　ネグロアマーロ　ビオロジコ,4935919059527,10.815315,5.376236,2000.0
パッソ　デル　カルディナーレ　プリミティーヴォ　ディ　マンドゥーリア,4935919059558,9.548067,4.3557553,2800.0
ライセス　シャルドネ,4935919061353,4.655753,4.881884,1800.0
ライセス　マルベック,4935919061360,9.329614,6.0901213,1900.0
マルケス　デ　ラ　コンコルディア　リオハ　サンティアゴ,4935919070768,10.587304,6.033107,2000.0
カバ　セレクション　エスペシャル　ブルット,4935919070942,6.379195,4.6614704,1800.0
カバ　セレクション　エスペシャル　ブルット　ロゼ,4935919070959,6.136354,4.976458,1800.0
オルキデア,4935919071024,6.381711,3.1856,1900.0
ノルテ,4935919071048,7.87757,4.4082274,1800.0
ナバエルス,4935919071079,8.295892,4.703641,1400.0
アシエンダ　ゾリータ,4935919071239,10.492755,6.181677,1800.0
コモロコ,4935919071598,7.97021,4.5123487,1800.0
ラヤ,4935919071604,10.053501,4.694351,1800.0
ドラゴン　レセルバ,4935919071673,10.646722,6.236104,1700.0
オノロ　ベラ,4935919071758,10.017679,5.813711,1800.0
パルデバジェス　ティント　プリエト　ピクード,4935919071802,10.552716,4.745344,1900.0
ガバルダ　ウノ,4935919071819,9.831263,4.209214,1300.0
ラ フラウタ デ バルトロ ティント,4935919072052,8.905824,6.094864,1400.0
ラ　フラウタ　デ　バルトロ　ブランコ,4935919072069,4.769777,5.2528896,1400.0
オノロ　ベラ　ルエダ,4935919072076,6.093809,3.0029433,1900.0
ガバルダ　シャルドネ,4935919072083,5.291646,5.2211394,1400.0
オノロ　ベラ　フミーリャ　モナストレル,4935919072304,10.682428,5.457875,1900.0
オノロ　ベラ　オーガニック,4935919072311,10.78693,5.6351337,1900.0
オノロ　ベラ　リオハ,4935919072472,7.958703,3.7074475,1900.0
ゴタ　デ　アレーナ,4935919072571,7.837223,3.381865,2000.0
エル　フィスゴン　ルエダ　ベルデホ,4935919072663,6.2779355,3.72445,2000.0
シゲ　アル　コネホ　ブランコ　マカベオ,4935919072670,4.443079,4.2011747,1500.0
エル　ニーニョ　イ　ラ　ルナ　ブランコ,4935919072687,4.370767,4.783751,1650.0
シゲ　アル　コネホ　ブランコ　ガルナッチャ,4935919072694,9.653356,6.5101914,1500.0
エル　ニーニョ　イ　ラ　ルナ　ティント,4935919072700,9.626875,5.2737565,1650.0
ドラゴン　カバ　グラン　トラディション　ブルット,4935919072830,6.5011187,4.534647,1500.0
エル　ネン　デル　セラー,4935919072847,9.031985,6.0072203,1900.0
エル　ビヒア　デ　ラ　アタラヤ　オーガニック,4935919072854,9.805784,4.5583754,2000.0
コモロコ　オーガニック　SO2無添加,4935919072946,10.786176,5.7984657,2000.0
シゲ　アル　コネホ　ブランコ　ブルット,4935919072977,5.8925624,5.131478,1600.0
メディオディア　ロサド,4935919073011,10.508781,4.5476418,1700.0
マナデーロ　コレクシオン　デ　パルセラス,4935919073028,10.501294,4.6099358,2000.0
ラ　ヴァディーナ,4935919073035,8.01485,3.8085234,1900.0
オノロ　ベラ　ロサド,4935919073042,4.290328,4.0885305,1900.0
カステロ　アフルタード　テンプラニーリョ,4935919073059,10.716875,4.9761066,1800.0
カベルネ　ソーヴィニヨン　グラン　レセルバ,4935919080118,9.646198,6.0219364,1800.0
ラ　ミシオン　デ　ピルケ　シャルドネ　レセルバ,4935919080163,4.6591744,3.9749756,1400.0
エスピノ　カベルネ　ソーヴィニヨン,4935919080200,10.414777,6.1544313,2000.0
ソーヴィニヨン　ブラン　レセルバ,4935919080293,4.2743773,4.504019,1500.0
サンジョヴェーゼ　レセルバ,4935919080316,10.247495,5.1861796,1600.0
ラ　ミシオン　デ　ピルケ　カベルネ　ソーヴィニヨン　レセルバ,4935919080354,8.319801,4.550044,1400.0
ヴィオニエ　レセルバ,4935919080378,5.135799,4.9772553,1500.0
メルロ　レセルバ,4935919080385,10.212849,5.35773,1600.0
シャルドネ　レセルバ,4935919080392,4.642446,4.4754844,1600.0
エスピノ シャルドネ,4935919080415,4.2418547,4.7768955,2100.0
ペドロ　ヒメネス　レセルバ,4935919080446,4.5709677,4.448256,1400.0
ピノ　ノワール　レセルバ,4935919080644,7.597021,3.127791,1900.0
ドンナ　マリア　シラー　アパッシメント,4935919080668,10.760053,5.973714,1900.0
シャルドネ　グラン　レセルバ,4935919080903,4.2777467,4.326183,1700.0
