商品名,JAN,Type,希望小売価格,UMAP1,UMAP2,Z_甘味,Z_渋味,Z_酸味,Z_ボディ
オー・ボン・クリマ シャルドネ サンタ バーバラ カウンティー,850755000028,White,4400.0,4.490888,5.0999565,0.06704103314109108,0.3787878787878788,0.3699849170437406,0.2629218151009687
ブレッド＆バター シャルドネ,850832004260,White,3980.0,5.621473,5.467198,0.22230193989900382,0.3939393939393939,0.29294871794871796,0.3709550315590745
シャンモリ 山梨県産葡萄使用 甲州,4524919310709,White,1300.0,5.537036,4.893438,0.19492811611799438,0.07575757575757576,0.5362745098039217,0.14344160217842306
ダークホース シャルドネ,4901777301702,White,1477.0,5.3307657,5.404092,0.17784707083528792,0.3068181818181818,0.13461538461538464,0.33064739223398343
コート　デュ　ローヌ　ヴィエイユ　ヴィーニュ,4935919044714,Red,2000.0,9.25087,5.9482036,0.057603686635944694,0.6287878787878787,0.16538461538461538,0.4065381808467362
ペイ　ドック　カベルネ　ソーヴィニヨン,4935919045049,Red,1400.0,8.428731,5.124503,0.0873092524628163,0.7954545454545454,0.12707390648567118,0.39737692891661536
ペイ　ドック　シャルドネ　キュヴェ　ド　ブリュ,4935919046091,White,1700.0,4.907277,3.649216,0.07533320455862469,0.1893939393939394,0.41542232277526403,0.16586714216600584
コート　デュ　ローヌ　ルージュ　ル　プティ　アンデゾン,4935919049924,Red,1700.0,8.638474,5.7793074,0.1147382654046745,0.5909090909090909,0.16538461538461538,0.411381472169775
モンテプルチャーノ　ダブルッツォ,4935919050357,Red,1900.0,10.466964,5.3280206,0.07210463864896935,0.7272727272727272,0.1596153846153846,0.4581224878706548
ファンティーニ　モンテプルチャーノ　ダブルッツォ,4935919050562,Red,1800.0,11.100205,5.1835957,0.19995032975523608,0.6893939393939393,0.24079939668174963,0.4464966009403025
ファンティーニ　トレッビアーノ　ダブルッツォ,4935919050579,White,1800.0,5.8947773,3.9329023,0.11218576671541708,0.14772727272727273,0.542081447963801,0.17343425398524456
ファンティーニ　サンジョヴェーゼ　テッレ　ディ　キエティ,4935919050883,Red,1800.0,10.167239,4.415733,0.21492038963547558,0.5984848484848485,0.2584087481146305,0.4331433864207252
ファレーリオ,4935919052504,White,1700.0,7.4349594,5.401373,0.11564888655867987,0.19318181818181818,0.3056184012066365,0.2144031646366472
ファンティーニ　シャルドネ,4935919052726,White,1800.0,5.2163243,3.651937,0.19372775186953284,0.25,0.6177601809954751,0.2571142891536102
ファンティーニ　プリミティーヴォ,4935919053150,Red,1800.0,9.583663,4.1125546,0.26122409558762655,0.6590909090909091,0.2697586726998492,0.48651071860395706
ロッソレアーレ,4935919053266,Red,1350.0,9.451816,4.5567813,0.17414939705841773,0.7234848484848484,0.21787330316742085,0.4439219459116412
モリ　ロッソ,4935919054034,Red,2000.0,10.328673,5.405694,0.11495902204806975,0.7424242424242424,0.21153846153846154,0.4347003413620474
ピエモンテ　バルベーラ,4935919054836,Red,1700.0,10.351615,6.1287746,0.05528574188029471,0.6742424242424242,0.21006787330316745,0.38316568015132735
ザブ　ネーロ　ダーヴォラ,4935919054874,Red,1600.0,10.03983,5.792093,0.15571621733491542,0.5946969696969697,0.28544494720965313,0.3818055910182877
ファンティーニ　ピノ　グリージョ,4935919054980,White,1900.0,5.462602,4.105956,0.13406826899196997,0.14772727272727273,0.4723604826546003,0.19459305199731497
ザブ　シラー,4935919055352,Red,1700.0,9.940136,5.4283776,0.2043240707525042,0.7196969696969696,0.1173076923076923,0.4938429352838739
ジ　ガルガネガ,4935919055406,White,1600.0,5.413498,4.7845106,0.1306189464389194,0.25,0.41436651583710404,0.20323308582194458
エッセ　ソアーヴェ,4935919055413,White,1700.0,4.815288,3.7398932,0.13798669941223543,0.25,0.43035444947209656,0.222875839185184
チ　シャルドネ,4935919055420,White,1700.0,5.044779,5.032538,0.11472446811446231,0.25757575757575757,0.45791855203619913,0.20128899673195094
チ　コルヴィーナ,4935919055437,Red,1600.0,8.107314,3.8955777,0.17737796296807307,0.5227272727272727,0.2519230769230769,0.3649459150950026
ヴェレノージ　パッセリーナ,4935919055505,White,2100.0,3.724139,4.037791,0.14052540081128065,0.25757575757575757,0.4855203619909503,0.1947977756077796
プライヴェート　キュヴェ　ブリュット,4935919055604,Spa,1600.0,6.5599313,4.3348927,0.3393167581886917,0.16287878787878787,0.46233031674208147,0.21236043186572706
サリチェ　サレンティーノ　ロッソ　フォルテ　インカント,4935919055833,Red,1600.0,8.951491,4.2710633,0.20617290764093932,0.7159090909090908,0.1403846153846154,0.4904625754410925
ロッソ　ピチェーノ,4935919055970,Red,1700.0,9.952573,5.8856983,0.138911117856453,0.696969696969697,0.23269230769230767,0.4257989662466655
モンテプルチャーノ　ダブルッツォ,4935919055987,Red,1700.0,9.001203,5.3251796,0.1681889676867463,0.7234848484848484,0.2711538461538462,0.4662334263368855
ザブ　グリッロ,4935919056229,White,1600.0,6.1161013,3.380133,0.1128756312260272,0.2689393939393939,0.45456259426847667,0.22241639214785486
コメ,4935919056397,Red,1700.0,8.245941,4.1704974,0.2591545020557962,0.6136363636363636,0.24038461538461536,0.41120066775248976
イ　ムーリ　ネグロアマーロ,4935919056731,Red,2000.0,11.124121,5.1826262,0.20225447722067386,0.7803030303030303,0.24457013574660635,0.515223266514093
トレッビアーノ　ダブルッツォ　スペリオーレ,4935919057165,White,1900.0,4.099673,3.811452,0.04192996495488285,0.19318181818181818,0.49193061840120667,0.16868371193715728
リゾーロ　フリッツァンテ　セッコ,4935919057615,Spa,1700.0,5.9256215,4.8089075,0.05276083777146168,0.21212121212121213,0.2673076923076923,0.17518075144587059
イル　ビアンコ,4935919057950,White,1700.0,5.202528,4.2138834,0.05114655481663401,0.15530303030303028,0.46176470588235297,0.13383806856696973
ヴェルディッキオ　デイ　カステッリ　ディ　イエージ　クラッシコ,4935919057967,White,2100.0,5.0453405,4.19262,0.059673280167775046,0.1818181818181818,0.5504147812971343,0.1527546875611811
ビアンコ　トスカーナ,4935919058186,White,1600.0,5.464666,4.958467,0.19465217031375037,0.24242424242424243,0.41259426847662145,0.23220078907411676
ロッソ　トスカーナ,4935919058193,Red,1600.0,9.2144785,4.262811,0.24532961726316949,0.7272727272727272,0.22352941176470592,0.47929653728734944
ポルタ　モンティカーノ　ロゼ　エクストラ　ドライ,4935919058513,Spa,1900.0,5.8939195,4.4656057,0.358908910290019,0.21212121212121213,0.40282805429864255,0.3243066471199601
コントログエッラ　パッセリーナ,4935919058605,White,1900.0,3.582838,3.9978642,0.046993570462761106,0.0909090909090909,0.605316742081448,0.0862546086857632
クストーツァ,4935919059435,White,1300.0,6.5472136,3.047859,0.1734595325478076,0.15530303030303028,0.4195701357466064,0.20919804226813493
バルドリーノ　キアレット,4935919059442,Rose,1300.0,4.771289,4.1266265,0.2027097877976765,0.2765151515151515,0.3903092006033183,0.2547637570163038
バルドリーノ,4935919059459,Red,1300.0,7.388778,3.45126,0.18175170396534118,0.5378787878787878,0.2923076923076923,0.33610252611841573
ガルダ　メルロ,4935919059466,Red,1300.0,8.365369,4.4600725,0.17276966803719748,0.6477272727272727,0.2254901960784314,0.39760984349946393
デッレ　ヴェネツィエ　ピノ　グリージョ,4935919059473,White,1500.0,5.281512,3.576017,0.16193879522061866,0.11742424242424242,0.5054298642533936,0.17741978686295096
ロッソ　デル　モリーノ,4935919059480,Red,1600.0,8.708211,4.2944694,0.17507381550263526,0.553030303030303,0.22371794871794876,0.3720558766621871
エコシステマ　シャルドネ　ビオロジコ,4935919059503,White,2000.0,3.7523408,4.1076136,0.2365821352686332,0.21212121212121213,0.46693061840120664,0.2661005747925653
テッレーノ　ネグロアマーロ　ビオロジコ,4935919059527,Red,2000.0,10.815315,5.376236,0.19626645326857803,0.8068181818181818,0.1734539969834088,0.5172035510044009
パッソ　デル　カルディナーレ　プリミティーヴォ　ディ　マンドゥーリア,4935919059558,Red,2800.0,9.548067,4.3557553,0.2771185739120836,0.8825757575757576,0.19449472096530923,0.5564640303553473
ライセス　シャルドネ,4935919061353,White,1800.0,4.655753,4.881884,0.06312260272082562,0.23484848484848483,0.4911010558069382,0.173899897478317
ライセス　マルベック,4935919061360,Red,1900.0,9.329614,6.0901213,0.13685532161483482,0.6022727272727273,0.08076923076923076,0.4360662393178707
マルケス　デ　ラ　コンコルディア　リオハ　サンティアゴ,4935919070768,Red,2000.0,10.587304,6.033107,0.04561384144154088,0.6363636363636364,0.2348793363499246,0.34540232182035807
カバ　セレクション　エスペシャル　ブルット,4935919070942,Spa,1800.0,6.379195,4.6614704,0.21907337398934848,0.1856060606060606,0.43269230769230776,0.19396795302129927
カバ　セレクション　エスペシャル　ブルット　ロゼ,4935919070959,Spa,1800.0,6.136354,4.976458,0.1971908717127956,0.10606060606060606,0.35961538461538467,0.15771165830303646
オルキデア,4935919071024,White,1900.0,6.381711,3.1856,0.05713457876872982,0.13257575757575757,0.42202111613876325,0.16032550476177385
ノルテ,4935919071048,Red,1800.0,7.87757,4.4082274,0.06012859074477772,0.5,0.2384615384615385,0.33054418992109946
